Surname	Given names	Date of Birth	Place of Birth	Selection	Position	Status	Flights	d	h	m	Marital status	Children	Nation	Date of Death	Place of Death
Brand	Vance DeVoe	09.05.1931	Longmont / Colorado	04.04.1966	CDR	Ret. ??.04.1992	4	31	2	2	married	six	USA	 	 
Brandenstein	Daniel Charles	17.01.1943	Watertown / Wisconsin	16.01.1978	CDR	Ret. 01.10.1992	4	32	21	3	married	one	USA	 	 
Bresnik	Randolph James	11.09.1967	Fort Knox / Kentucky	06.05.2004	PLT	active	2	149	12	12	married	two	USA	 	 
Bridges	Roy Dubard, Jr.	19.07.1943	Atlanta / Georgia	19.05.1980	PLT	Ret. ??.03.1986	1	7	22	45	married	two	USA	 	 
Brown	Curtis Lee, Jr. "Curt"	11.03.1956	Elizabethtown / North Carolina	05.06.1987	CDR	Ret. 31.12.1999	6	57	15	3	married	one	USA	 	 
Brown	David McDowell	16.04.1956	Arlington / Virginia	01.05.1996	MSP	died 01.02.2003	1	15	22	20	single	 	USA	01.02.2003	over Texas
Brown	Mark Neil	18.11.1951	Valparaiso / Indiana	23.05.1984	MSP	Ret. ??.07.1993	2	10	9	27	married	two	USA	 	 
Buchli	James Frederick	20.06.1945	New Rockford / North Dakota	16.01.1978	MSP	Ret. ??.08.1992	4	20	10	24	married	two	USA	 	 
Buckey	Jay Clark, Jr.	06.06.1956	New York City / New York	??.12.1991	PSP	Ret. 03.05.1998	1	15	21	50	married	three	USA	 	 
Bull	John Sumter	25.09.1934	Memphis / Tennessee	04.04.1966	PLT	Ret. 16.07.1968	 	0	0	0	married	three	USA	11.08.2008	South Lake Tahoe / California
Burbank	Daniel Christopher	27.07.1961	Manchester / Connecticut	01.05.1996	MSP	Ret. 29.06.2018	3	188	21	47	married	two	USA	 	 
Burnham	Deniz Melissa	??.10.1985	Incirlik Air Base, Adana, Turky	06.12.2021	PLT	active	 	0	0	0	 	 	USA	 	 
Bursch	Daniel Wheeler	25.07.1957	Bristol / Pennsylania	17.01.1990	MSP	Ret. ??.06.2005	4	226	22	14	married	four	USA	 	 
Butterworth	Louis William	17.07.1948	Casper / Wyoming	05.07.1984	PSP	Ret. 28.01.1986	 	0	0	0	married	 	USA	 	 
Cabana	Robert Donald	23.01.1949	Minneapolis / Minnesota	04.06.1985	CDR	Ret. ??.04.2004	4	37	22	42	married	three	USA	 	 
Cagle	Yvonne Darlene	24.04.1959	West Point / New York	01.05.1996	MSP	Ret. ??.06.2008	 	0	0	0	divorced	one	USA	 	 
Caldeiro	Fernando "Frank"	12.06.1958	Buenos Aires / Argentina	01.05.1996	MSP	died 03.10.2009	 	0	0	0	married	two	USA	03.10.2009	League City / Texas
Camarda	Charles Joseph	08.05.1952	Queens / New York	01.05.1996	MSP	Ret. ??.06.2006	1	13	21	32	married	four	USA	 	 
Cameron	Kenneth Donald	29.11.1949	Cleveland / Ohio	23.05.1984	CDR	Ret. 05.08.1996	3	23	10	10	married	two	USA	 	 
Cardman	Zena Maria	26.10.1988	Urbana / Illinois	07.06.2017	PLT	aktiv	 	0	0	0	 	 	USA	 	 
Carey	Duane Gene "Digger"	30.04.1957	St. Paul / Minnesota	01.05.1996	PLT	Ret. ??.10.2004	1	10	22	10	married	two	USA	 	 
Carpenter	Malcolm Scott	01.05.1925	Boulder / Colorado	02.04.1959	PLT	Ret. 10.08.1967	1	0	4	56	divorced	eight	USA	10.10.2013	Denver / Colorado
Carr	Gerald Paul "Jerry"	22.08.1932	Denver / Colorado	04.04.1966	CDR	Ret. 25.06.1977	1	84	1	15	married	seven	USA	 	 
Carretto	Joseph Anthony, Jr.	30.01.1957	West Hampstead / New York	??.09.1985	MSE	Ret. ??.07.1988	 	0	0	0	 	 	USA	 	 
Carter	Manley Lanier, Jr. "Sonny"	15.08.1947	Macon / Georgia	23.05.1984	MSP	died 05.04.1991	1	5	0	6	married	two	USA	05.04.1991	Brunswick / Georgia
Casper	John Howard	09.07.1943	Greenville / South Carolina	23.05.1984	CDR	Ret. ??.??.1997	4	34	9	51	married	four	USA	 	 
Cassada	Josh Aaron	18.07.1973	San Diego / California	17.06.2013	PLT	active	 	0	0	0	married	two	USA	 	 
Casserino	Frank James, Jr.	21.07.1955	Bronx / New York	??.08.1979	MSE	Ret. ??.05.1985	 	0	0	0	married	two	USA	04.01.2021	Colorado Springs / Colorado
Cassidy	Christopher John "Chris"	04.01.1970	Salem / Massachusetts	06.05.2004	MSP	Ret. 28.05.2021	3	377	17	49	married	five	USA	 	 
Cenker	Robert Joseph, Jr.	05.11.1948	Uniontown / Pennsylvania	08.05.1985	PSP	Ret. 18.01.1986	1	6	2	3	married	three	USA	 	 
Cernan	Eugene Andrew	14.03.1934	Chicago / Illinois	17.10.1963	CDR	Ret. 01.07.1976	3	23	14	15	married	three	USA	16.01.2017	Houston / Texas
Chaffee	Roger Bruce	15.02.1935	Grand Rapids / Michigan	17.10.1963	PLT	died 27.01.1967	 	0	0	0	married	two	USA	27.01.1967	Cape Canaveral / Florida
Chamitoff	Gregory Errol	06.08.1962	Montreal / Canada	04.06.1998	MSP	Ret. 30.09.2013	2	198	18	0	married	two	USA	 	 
Chang-Diaz	Franklin Ramon	05.04.1950	San José / Costa Rica	19.05.1980	MSP	Ret. 08.07.2005	7	66	18	15	married	four	USA	 	 
Chapman	Philip Kenyon	05.03.1935	Melbourne / Australia	04.08.1967	PLT	Ret. ??.07.1972	 	0	0	0	married	two	USA	05.04.2021	Scottsdale / Arizona
Chappell	Charles Richard	02.06.1943	Greenville / South Carolina	27.12.1985	PSP	Ret. 02.04.1992	 	0	0	0	married	one	USA	 	 
Chari	Raja Jon Vurputoor "Grinder"	24.06.1977	Milwaukee / Wisconsin	07.06.2017	PLT	active	1	176	2	39	married	three	USA	 	 
Chawla	Kalpana	17.03.1962	Karnal / India	08.12.1994	MSP	died 01.02.2003	2	31	14	54	married	 	USA	01.02.2003	over Texas
Chiao	Leroy	28.08.1960	Milwaukee / Wisconsin	17.01.1990	MSP	Ret. 31.10.2005	4	229	8	39	married	 	USA	 	 
Chilton	Kevin Patrick "Chilly"	03.11.1954	Los Angeles / California	05.06.1987	CDR	Ret. ??.08.1998	3	29	8	22	married	four	USA	 	 
Clark	Laurel Blair Salton	10.03.1961	Ames / Iowa	01.05.1996	MSP	died 01.02.2003	1	15	22	20	married	one	USA	01.02.2003	over Texas
Cleave	Mary Louise	05.02.1947	Southampton / New York	19.05.1980	MSP	Ret. ??.05.1990	2	10	22	0	single	 	USA	 	 
Clegg	Robert Henry	23.08.1946	Boston / Massachusetts	25.06.1990	PSP	Ret. ??.??.1992	 	0	0	0	 	 	USA	 	 
Clifford	Michael Richard Uram "Rich"	13.10.1952	Norton AFB / California	17.01.1990	MSP	Ret. 06.01.1997	3	27	18	24	married	two	USA	28.12.2021	North Myrtle Beach, South Carolina
Coats	Michael Lloyd	16.01.1946	Sacramento / California	16.01.1978	CDR	Ret. 01.08.1991	3	19	7	56	married	two	USA	 	 
Cockrell	Kenneth Dale "Taco"	09.04.1950	Austin / Texas	17.01.1990	CDR	Ret. ??.02.2006	5	64	12	24	married	two	USA	 	 
Coleman	Catherine Grace "Cady"	14.12.1960	Charleston / South Carolina	31.03.1992	MSP	Ret. ??.07.2015	3	180	3	58	married	one	USA	 	 
Collins	Eileen Marie "MOM"	19.11.1956	Elmira / New York	17.01.1990	CDR	Ret. 01.05.2006	4	36	8	9	married	two	USA	 	 
Collins	Michael	31.10.1930	Rom / Italy	17.10.1963	CMP	Ret. ??.01.1970	2	11	2	4	widowed	three	USA	28.04.2021	Naples / Florida
Connor	Larry	07.01.1950	Albany / New York	??.??.20??	PLT	Ret. 25.04.2022	1	17	1	49	 	 	USA	 	 
Conrad	Charles, Jr. "Pete"	02.06.1930	Philadelphia / Pennsylvania	17.09.1962	CDR	Ret. 01.02.1974	4	49	3	38	married	four	USA	08.07.1999	Ojai / California
Cooper	Leroy Gordon, Jr. "Gordo"	06.03.1927	Shawnee / Oklahoma	02.04.1959	CDR	Ret. 01.07.1970	2	9	9	14	married	six	USA	04.10.2004	 
Covey	Richard Oswalt	01.08.1946	Fayetteville / Arkansas	16.01.1978	CDR	Ret. 01.07.1994	4	26	21	9	married	two	USA	 	 
Creamer	Timothy John "TJ"	15.11.1959	Ft. Huachuca / Arizona	04.06.1998	MSP	Ret. ??.05.2011	1	163	5	32	married	two	USA	 	 
Creighton	John Oliver	28.04.1943	Orange / Texas	16.01.1978	CDR	Ret. 15.07.1992	3	16	20	24	married	 	USA	 	 
Crews	Albert Hanlin, Jr.	23.03.1929	El Dorado / Arkansas	12.11.1965	PLT	Ret. 10.06.1969	 	0	0	0	married	three	USA	 	 
Crippen	Robert Laurel "Crip"	11.09.1937	Beaumont / Texas	30.06.1966	CDR	Ret. 31.12.1991	4	23	13	47	married	three	USA	 	 
Crombie	Robert Buck "Rob"	27.02.1954	Joliet / Illinois	??.09.1985	MSE	Ret. ??.07.1988	 	0	0	0	married	 	USA	 	 
Crossfield	Albert Scott	02.10.1921	Berkeley / California	??.??.1958	PLT	Ret. 06.12.1960	 	0	0	0	married	six	USA	19.04.2006	near Ellijay / Georgia
Crouch	Roger Keith	12.09.1940	Jamestown / Tennessee	11.01.1989	PSP	Ret. 17.07.1997	2	19	15	56	married	three	USA	 	 
Culbertson	Frank Lee, Jr.	15.05.1949	Charleston / South Carolina	23.05.1984	CDR	Ret. 24.08.2002	3	143	14	50	married	five	USA	 	 
Cunningham	Ronnie Walter "Walt"	16.03.1932	Creston / Iowa	17.10.1963	LMP	Ret. 01.08.1971	1	10	20	9	married	two	USA	 	 
Cunningham	Stephen Lee	10.09.1945	Renton / Washington	05.07.1984	PSP	Ret. 28.01.1986	 	0	0	0	married	three	USA	 	 
Curbeam	Robert Lee, Jr. "Beamer"	05.03.1962	Baltimore / Maryland	08.12.1994	MSP	Ret. 07.12.2007	3	37	14	41	married	two	USA	 	 
Currie-Gregg	Nancy Jane Sherlock	29.12.1958	Wilmington / Delaware	17.01.1990	MSP	Ret. ??.??.2005	4	41	15	32	married	one	USA	 	 
Dana	William Harvey "Bill"	03.11.1930	Pasadena / California	??.??.1965	PLT	Ret. 24.10.1968	 	0	0	0	married	four	USA	06.05.2014	Phoenix / Arizona
Davis	Nancy Jan	01.11.1953	Cocoa Beach / Florida	05.06.1987	MSP	Ret. 21.06.1999	3	28	2	5	married	two	USA	 	 
DeArmond	Frank Maxton	22.11.1954	Columbia / South Carolina	??.09.1985	MSE	Ret. ??.07.1988	 	0	0	0	married	two	USA	 	 
Delaney	Luke Daniel	25.08.1979	Miami, Florida	06.12.2021	PLT	active	 	0	0	0	 	 	USA	 	 
DeLucas	Lawrence James "Larry"	11.07.1950	Syracuse / New York	06.08.1990	PSP	Ret. 09.07.1992	1	13	19	30	married	three	USA	 	 
Detroye	Jeffrey Eliot	14.01.1955	Alexandria / Virginia	??.08.1979	MSE	Ret. ??.08.1985	 	0	0	0	married	 	USA	 	 
Dominick	Matthew Stuart	07.12.1981	Wheat Ridge / Colorado	07.06.2017	PLT	active	 	0	0	0	married	two	USA	 	 
Douglas	André Maurice Baulding	??.12.1985	Miami, Florida	06.12.2021	PLT	active	 	0	0	0	 	 	USA	 	 
Drew	Benjamin Alvin, Jr.	05.11.1962	Washington D.C.	26.07.2000	MSP	Ret. ??.10.2013	2	25	12	59	single	 	USA	 	 
Duffy	Brian	20.06.1953	Boston / Massachusetts	04.06.1985	CDR	Ret. ??.04.2001	4	40	17	35	married	two	USA	 	 
Duke	Charles Moss, Jr. "Chuck"	03.10.1935	Charlotte / North Carolina	04.04.1966	LMP	Ret. 01.01.1976	1	11	1	51	married	two	USA	 	 
Dunbar	Bonnie Jeanne	03.03.1949	Sunnyside / Washington	19.05.1980	MSP	Ret. 30.09.2005	5	50	8	23	divorced	 	USA	 	 
Dunlap	Alexander William	15.07.1960	Honolulu / Hawaii	??.03.1996	PSP	Ret. 03.05.1998	 	0	0	0	single	 	USA	 	 
Durrance	Samuel Thornton	17.09.1943	Tallahassee / Florida	20.06.1984	PSP	Ret. 18.03.1995	2	25	14	13	married	two	USA	 	 
Dutton	James Patrick, Jr.	20.11.1968	Eugene / Oregon	06.05.2004	PLT	Ret. ??.06.2012	1	15	2	47	married	four	USA	 	 
Dyson	Esther	14.07.1951	Zurich / Switzerland	??.10.2008	UKP	Ret. 08.04.2009	 	0	0	0	 	 	USA	 	 
Dyson	Tracy Caldwell	14.08.1969	Arcadia / California	04.06.1998	MSP	active	2	188	19	13	married	 	USA	 	 
Edwards	Joe Frank, Jr.	03.02.1958	Richmond / Virginia	08.12.1994	PLT	Ret. 30.04.2000	1	8	19	47	married	one	USA	 	 
Eisele	Donn Fulton	23.06.1930	Columbus / Ohio	17.10.1963	CMP	Ret. 01.06.1972	1	10	20	9	married	six	USA	02.12.1987	Tokyo / Japan
England	Anthony Wayne	15.05.1942	Indianapolis / Indiana	04.08.1967	MSP	Ret. 31.08.1988	1	7	22	45	married	two	USA	 	 
Engle	Joe Henry	26.08.1932	Dickinson County / Kansas	04.04.1966	CDR	Ret. 30.11.1986	2	9	8	30	married	two	USA	 	 
Epps	Jeanette Jo	03.11.1970	Syracuse / New York	29.06.2009	MSP	active	 	0	0	0	 	 	USA	 	 
Evans	Ronald Ellwin, Jr. "Ron"	10.11.1933	St. Francis / Kansas	04.04.1966	CMP	Ret. 15.03.1977	1	12	13	52	married	two	USA	07.04.1990	Scottsdale/ Arizona
Fabian	John McCreary	28.01.1939	Goosecreek / Texas	16.01.1978	MSP	Ret. 31.12.1985	2	13	4	3	married	two	USA	 	 
Ferguson	Christopher John	01.09.1961	Philadelphia / Pennsylvania	04.06.1998	CDR	Ret. 09.12.2011	3	40	10	3	married	three	USA	 	 
Fettman	Martin Joseph	31.12.1956	Brooklyn / New York	??.12.1991	PSP	Ret. 01.11.1993	1	14	0	12	single	 	USA	 	 
Feustel	Andrew Jay "Drew"	25.08.1965	Lancaster / Pennsylvania	26.07.2000	MSP	active	3	225	9	15	married	two	USA	 	 
Fincke	Edward Michael "Mike"	14.03.1967	Pittsburgh / Pennsylvania	01.05.1996	MSP	active	3	381	15	7	married	three	USA	 	 
Finley	John Lawrence "Jack"	22.12.1935	Winchester / Massachusetts	12.11.1965	PLT	Ret. ??.04.1968	 	0	0	0	divorced	two	USA	19.09.2006	Memphis / Tennessee
Fischer	Jack David "2fish"	23.01.1974	Louisville / Colorado	29.06.2009	PLT	Ret. 31.05.2018	1	135	18	8	married	two	USA	 	 
Fisher	Anna Lee Tingle	24.08.1949	St. Albans / New York	16.01.1978	MSP	Ret. ??.06.2006	1	7	23	44	divorced	two	USA	 	 
Fisher	William Frederick	01.04.1946	Dallas / Texas	19.05.1980	MSP	Ret. 31.01.1991	1	7	2	17	married	two	USA	 	 
Foale	Colin Michael	06.01.1957	Louth / England	05.06.1987	MSP	Ret. ??.08.2013	6	373	18	15	married	two	USA	 	 
Ford	Kevin Anthony	07.07.1960	Portland / Indiana	26.07.2000	PLT	Ret. ??.01.2014	2	157	13	8	married	two	USA	 	 
Foreman	Michael James	29.03.1957	Columbus / Ohio	04.06.1998	MSP	Ret. ??.12.2010	2	26	13	27	married	three	USA	 	 
Forrester	Patrick Graham	31.03.1957	El Paso / Texas	01.05.1996	MSP	Ret. ??.08.2011	3	39	14	16	married	two	USA	 	 
Fossum	Michael Edward	19.12.1957	Sioux Falls / South Dakota	04.06.1998	MSP	Ret. 07.01.2017	3	193	19	1	married	four	USA	 	 
Freeman	Theodore Cordy "Ted"	18.02.1930	Haverford / Pennsylvania	17.10.1963	PLT	died 31.10.1964	 	0	0	0	married	one	USA	31.10.1964	Ellington AFB / Texas
Frick	Stephen Nathaniel	30.09.1964	Pittsburgh / Pennsylvania	01.05.1996	CDR	Ret. ??.10.2010	2	23	14	3	married	 	USA	 	 
Fullerton	Charles Gordon	11.10.1936	Rochester / New York	30.06.1966	CDR	Ret. ??.10.1986	2	15	22	50	married	two	USA	21.08.2013	Lancaster / California
Gaffney	Francis Andrew "Drew"	09.06.1946	Carlsbad / New Mexico	09.01.1984	PSP	Ret. 14.06.1991	1	9	2	14	married	two	USA	 	 
Garan	Ronald John, Jr.	30.10.1961	Yonkers / New York	26.07.2000	PLT	Ret. ??.12.2012	2	177	23	54	married	three	USA	 	 
Gardner	Dale Allan	08.11.1948	Fairmont / Minnesota	16.01.1978	MSP	Ret. ??.10.1986	2	14	0	52	married	two	USA	19.02.2014	Colorado Springs / Colorado
Gardner	Guy Spence	06.01.1948	Alta Vista / Virginia	19.05.1980	PLT	Ret. ??.06.1991	2	13	8	10	married	three	USA	 	 
Garn	Edwin Jacob "Jake"	12.10.1932	Richfield / Utah	09.11.1984	PSP	Ret. 19.04.1985	1	6	23	55	widowed	seven	USA	 	 
Garriott	Owen Kay	22.11.1930	Enid / Oklahoma	28.06.1965	MSP	Ret. 01.08.1986	2	69	18	56	married	four	USA	15.04.2019	Huntsville / Alabama
Garriott de Cayeux	Richard Allen	04.07.1961	Cambridge, England	??.09.2007	UKP	Ret. 24.10.2008	1	11	20	35	married	two	USA	 	 
Gemar	Charles Donald "Sam"	04.08.1955	Yankton / South Dakota	04.06.1985	MSP	Ret. ??.??.1996	3	24	5	38	married	two	USA	 	 
Gernhardt	Michael Landon	04.05.1956	Mansfield / Ohio	31.03.1992	MSP	Ret. ??.08.2001	4	43	6	59	married	 	USA	 	 
Gibson	Edward George	08.11.1936	Buffalo / New York	28.06.1965	SPT	Ret. 01.11.1982	1	84	1	15	married	four	USA	 	 
Gibson	Robert Lee "Hoot"	30.10.1946	Cooperstown / New York	16.01.1978	CDR	Ret. 15.11.1996	5	36	4	15	married	four	USA	 	 
Gillis	Sarah	 	 	??.??.2022	Tourist	activ	 	0	0	0	 	 	USA	 	 
Givens	Edward Galen, Jr.	05.01.1930	Quanah / Texas	04.04.1966	PLT	died 06.06.1967	 	0	0	0	married	three	USA	06.06.1967	Pearland / Texas
Glenn	John Herschel, Jr.	18.07.1921	Cambridge / Ohio	02.04.1959	PSP	Ret. 07.11.1998	2	9	2	39	married	two	USA	08.12.2016	Columbus / Ohio
Glover	Victor Jerome	30.04.1976	Pomona / California	17.06.2013	PLT	active	1	167	6	29	married	four	USA	 	 
Godwin	Linda Maxine	02.07.1952	Cape Girardeau / Missouri	04.06.1985	MSP	Ret. ??.08.2010	4	38	6	12	widowed	two	USA	 	 
Good	Michael Timothy "Bueno"	13.10.1962	Parma / Ohio	26.07.2000	MSP	Ret. ??.04.2012	2	24	16	5	married	three	USA	 	 
Gordon	Henry Charles	23.12.1925	Valparaiso / Indiana	20.09.1962	PLT	Ret. 10.12.1963	 	0	0	0	married	four	USA	24.09.1996	Peoria / Arizona
Gordon	Richard Francis, Jr. "Dick"	05.10.1929	Seattle / Washington	17.10.1963	CMP	Ret. 01.01.1972	2	13	3	53	widowed	six	USA	06.11.2017	San Marcos / California
Gorie	Dominic Lee Pudwill	02.05.1957	Lake Charles / Louisiana	08.12.1994	CDR	Ret. 04.06.2010	4	48	15	18	married	two	USA	 	 
Grabe	Ronald John	13.06.1945	New York City / New York	19.05.1980	CDR	Ret. 11.04.1994	4	26	3	38	married	three	USA	 	 
